comment,clean_comment
Gesture gesek tangan.. nervous,gesture gesek tangan nervous
Dia santai tapi si Dustin yg kepanasan,dia santai tapi si dustin yg kepanasan
gk ada isinya (kosong),gk ada isinya kosong
"menurut keyakinan saya.
Normatif dan memang kosong ini orang.

18 mnt yang sia-sia 
gkgkgkgkgk",menurut keyakinan saya normatif dan memang kosong ini orang mnt yang siasia gkgkgkgkgk
"anjrit, lucu jugaaa. menurut keyakinan saya lebih cocok jadi komedian daripada wapres. oh atau pemain bola aja, hattrick 2 assist kan? 😊🙏🏻",anjrit lucu jugaaa menurut keyakinan saya lebih cocok jadi komedian daripada wapres oh atau pemain bola aja hattrick assist kan
Bgst ini AI kan 😂,bgst ini ai kan
ini wapres indonesia?,ini wapres indonesia
Strategi personal branding yang mantap. Jadi keinget trump,strategi personal branding yang mantap jadi keinget trump
yah ditanggapi santai ternyata hahaha 😂,yah ditanggapi santai ternyata hahaha
Udahh pesen mass 😂😂😂. Gimmick ny harus jalann. Sesuai pesanan td aj😂😂,udahh pesen mass gimmick ny harus jalann sesuai pesanan td aj
Ngeri ni coki muslim cok,ngeri ni coki muslim cok
Yg tengah wifi nya agak ngelag ey,yg tengah wifi nya agak ngelag ey
Salut sihh cuma dia doang wapres yg mau bginian😂😂,salut sihh cuma dia doang wapres yg mau bginian
keknya banyak waktu bgt ya jadi pejabat ni,keknya banyak waktu bgt ya jadi pejabat ni
Santaii😂,santaii
Kata temen gua katanya ada 1 0rang yg bilang akan buka 19jt lowongan kerja tapi ntah kemana tuh orang nya,kata temen gua katanya ada rang yg bilang akan buka jt lowongan kerja tapi ntah kemana tuh orang nya
"Awokawoka bawa2 roy suryo 😂😂😂
Ahli legalisir ijazah 🤣🤣🤣",awokawoka bawa roy suryo ahli legalisir ijazah
ai bukan ini bang?? agak sulit sekarang bedain ai bukan 😭👏,ai bukan ini bang agak sulit sekarang bedain ai bukan
Wkwkwkw parah tu trtan😅,wkwkwkw parah tu trtan
lwak haha,lwak haha
Ketika wakil gua santai aja 😅 🎉🎉🎉,ketika wakil gua santai aja
"yang comend rata-rata bertanya lapangan perkerjaan KALIAN DONGO ATAU BEGO
MINIMAL KALO MAU KERJA AHLAK DULU PERBAIKI KARNA DMN MN TEMPAT KERJA NYARI AHLAK DULU BARU KETRAMPILAN
INI UDAH AHLAK JELEK G ADA KETRAMPILAN MAU KERJA KAN LAWAK
MASA MAU LAMAR PEKERJAAN ONLINE PAKAI CHAT P P P  LAWAK LAWAK",yang comend ratarata bertanya lapangan perkerjaan kalian dongo atau bego minimal kalo mau kerja ahlak dulu perbaiki karna dmn mn tempat kerja nyari ahlak dulu baru ketrampilan ini udah ahlak jelek g ada ketrampilan mau kerja kan lawak masa mau lamar pekerjaan online pakai chat p p p lawak lawak
anjengggg🤣🤣🤣,anjengggg
😂😂😂,
Pemilu masih lama sudah pencitraan,pemilu masih lama sudah pencitraan
The real buzzer pemerintah,the real buzzer pemerintah
"Begini lah kondisi Indonesia, low brain semua,",begini lah kondisi indonesia low brain semua
Bagas selama 1 jam merasakan ujung tanduk dari SP2,bagas selama jam merasakan ujung tanduk dari sp
coki doang ama wapres lu lu lu😂😂. GG,coki doang ama wapres lu lu lu gg
"Kipernya diem ja. Enggak juga, karirkuuu😂",kipernya diem ja enggak juga karirkuuu
Diawal aj udh aga was was tapi kocak anjir 😂😂,diawal aj udh aga was was tapi kocak anjir
Knp ga tanya fufufafa itu beneran dia gak?,knp ga tanya fufufafa itu beneran dia gak
Gibran kalo daftar suci di mentorin keknya lucu ye,gibran kalo daftar suci di mentorin keknya lucu ye
Ahh pria itu solo lagi🥀,ahh pria itu solo lagi
Gibran anjing,gibran anjing
Pas bilang roy Suryo biji gw keringetan anjg😭,pas bilang roy suryo biji gw keringetan anjg
Berharap Nanya akun fufufafa padahal,berharap nanya akun fufufafa padahal
Gibran hatrick ya???????,gibran hatrick ya
Sumpah ngeri2 sedap ini 2 orang😂,sumpah ngeri sedap ini orang
prince oslo,prince oslo
"Mulutnya Tretan anj😂
Meanwhile si Coki jaga sikap😂",mulutnya tretan anj meanwhile si coki jaga sikap
Fufufafa,fufufafa
Coki ajg,coki ajg
Muak lihat muka buzzer,muak lihat muka buzzer
Si tretan carmuk banget ....,si tretan carmuk banget
member baru para mutan..,member baru para mutan
"Tanpa kalian sadari mereka lah pendukung paling loyal untuk pemerintahan prabowo-gibran .❤
Good job guyss",tanpa kalian sadari mereka lah pendukung paling loyal untuk pemerintahan prabowogibran good job guyss
"i see fufufafa, i dislike 😇",i see fufufafa i dislike
Buzzer,buzzer
Indonesia Emas 2045 Dimulai dari sini nih...,indonesia emas dimulai dari sini nih
"Lucu ajg di apk sebelah pendukung anis pada ngatain coki sama tretan termul😂, padahal abahnya sendiri leluhur termul",lucu ajg di apk sebelah pendukung anis pada ngatain coki sama tretan termul padahal abahnya sendiri leluhur termul
19 juta lapangan pekerjaan why,juta lapangan pekerjaan why
Sattt😂😂,sattt
Roy suryo dan panji beda genre komedinya...Caaaaaaaksss...,roy suryo dan panji beda genre komedinyacaaaaaaaksss
Gak apa² gak masalah ini baru wakil presiden kita... Kesadaran adalah kritikan dari kebijakan pendewasaan indonesia,gak apa gak masalah ini baru wakil presiden kita kesadaran adalah kritikan dari kebijakan pendewasaan indonesia
"11:25 Permohonan maaf Mas Gibran, respect.",permohonan maaf mas gibran respect
racun x yg 2 org ini ahh.... wkwkwkwk,racun x yg org ini ahh wkwkwkwk
"Gibrannya sendiri gak ada masalah, penjilat²nya aja yang sibuk cari muka ....😂😂😂",gibrannya sendiri gak ada masalah penjilatnya aja yang sibuk cari muka
Emang gila orang orang ini 😂😂,emang gila orang orang ini
Wah ini penghinaan. Videonya dikasih subtitle anda kira mas Giran tidak lancar berahasa Indonesia dan sulit dipahami sehingga harus dikasih subtitle videonya??? Wah harus cepat masukin flashdisk biar bisa dilaporin,wah ini penghinaan videonya dikasih subtitle anda kira mas giran tidak lancar berahasa indonesia dan sulit dipahami sehingga harus dikasih subtitle videonya wah harus cepat masukin flashdisk biar bisa dilaporin
Kalo doi dah ga di politik lgi tarik ke MLI jadiin trio ini pasti pecah sih !! Udah se frekuensi gitu 🤣,kalo doi dah ga di politik lgi tarik ke mli jadiin trio ini pasti pecah sih udah se frekuensi gitu
Yg gw salut liat mas wapres nih dia GK pernh terpojok njirr pinter nih orng sih.,yg gw salut liat mas wapres nih dia gk pernh terpojok njirr pinter nih orng sih
INI PASTI HOLOGRAMNYA GIBRAN!!!,ini pasti hologramnya gibran
Currrr konten gila njirr,currrr konten gila njirr
Kipernya diem doang 😂😂 anjeeeeng 🤣🤣,kipernya diem doang anjeeeeng
Pangeran solo,pangeran solo
SANTAI,santai
"Coki ambil tahu crispy dengan santainya, Muslim beneran panik.",coki ambil tahu crispy dengan santainya muslim beneran panik
Yang tengah ngantuk yaaaaa ...???😂😂😂,yang tengah ngantuk yaaaaa
"Sengaja lah ga mungkin bilang bilang pernah marah, karena orang yang menjaga muka pasti akan menahan sifat aslinya",sengaja lah ga mungkin bilang bilang pernah marah karena orang yang menjaga muka pasti akan menahan sifat aslinya
tetap tak tertolong,tetap tak tertolong
Bahan lelucon😂,bahan lelucon
"18 detik nahan Gibran eh, pengen tidur",detik nahan gibran eh pengen tidur
masihhh awal tahun loh ini cokkk 😭😭😭 jokesnya sangat dalam palung,masihhh awal tahun loh ini cokkk jokesnya sangat dalam palung
Uncle coki terlalu op sekali susah di nerf walaupun berbicara dengan orang nomer 2 di indonesia😂,uncle coki terlalu op sekali susah di nerf walaupun berbicara dengan orang nomer di indonesia
keeren lah coki muslim,keeren lah coki muslim
ajg coki ketawanya ditahan2,ajg coki ketawanya ditahan
ini asli gak sih bgst 🤣,ini asli gak sih bgst
"Roasting di depannya langsung, dong😂😂😂",roasting di depannya langsung dong
Soft spoken bgt kek pak jokowi,soft spoken bgt kek pak jokowi
Lebih ke perpeloncoan si🙏,lebih ke perpeloncoan si
19 jt lapangan kerja gimana cok?😂,jt lapangan kerja gimana cok
Hey mas mas tolong itu temannya yang di tengah dibangunkan dulu mas,hey mas mas tolong itu temannya yang di tengah dibangunkan dulu mas
cape ngelike komentar 😭😭😭😭😭,cape ngelike komentar
😂😂😂,
sangar cok,sangar cok
"0:04 lagi nahan tawa, klo gw disana udh ngakak",lagi nahan tawa klo gw disana udh ngakak
karena coki muslim termul jadi mau dateng mas mas itu,karena coki muslim termul jadi mau dateng mas mas itu
FYI. untuk IKN malah makin rame karena tol akses kesana gratiss. dan baguus banget ❤❤❤,fyi untuk ikn malah makin rame karena tol akses kesana gratiss dan baguus banget
Paspampres di depan wkkwkw,paspampres di depan wkkwkw
Ini AI ya ? Selama 18 mnit podcast ini?,ini ai ya selama mnit podcast ini
ra mutu,ra mutu
si tretan sm pardede satir sarkas dua2nya dipke...wkwkwkwkkk,si tretan sm pardede satir sarkas duanya dipkewkwkwkwkkk
Gak seru lah gk bahas sawit,gak seru lah gk bahas sawit
mereka yang shoting gw yang tegang nonton nya hahhaha,mereka yang shoting gw yang tegang nonton nya hahhaha
"Itulah kelebihan kalo pejabat masih umuran muda, masih bisa diajak becanda",itulah kelebihan kalo pejabat masih umuran muda masih bisa diajak becanda
2014 Gibran sempet marah pas dikenalin ke wartawan. Waktu itu isunya anak ga berbakti karena ga bantuin kampanye bapaknya.,gibran sempet marah pas dikenalin ke wartawan waktu itu isunya anak ga berbakti karena ga bantuin kampanye bapaknya
"Lucuan ini dari pada mensrea satt, minus bapak2 temennya cokmus doang😂😂",lucuan ini dari pada mensrea satt minus bapak temennya cokmus doang
Admin fufuf4f4 😅,admin fufuff
Kerennnn🎉,kerennnn
ANNNJIIINNGG.. GILAAA LANGSUNG PODCAST 😂😂😂,annnjiiinngg gilaaa langsung podcast
aowkokwokw,aowkokwokw
Pertanyaan kita semua yang harusnya bisa membuktikan kalau tretan dan coki bukan enabler rezim dan beneran genuine mewakili kaum komedi: FUFUFAFA? MANA? GA BERANI?,pertanyaan kita semua yang harusnya bisa membuktikan kalau tretan dan coki bukan enabler rezim dan beneran genuine mewakili kaum komedi fufufafa mana ga berani
"Gk mampan ji pandi gk ngaru😂
Nikmati aja gantian keluarga nya😂",gk mampan ji pandi gk ngaru nikmati aja gantian keluarga nya
Gua nonton sambil ngakak😂,gua nonton sambil ngakak
Bisa bisanya endors wakil presiden wkwk,bisa bisanya endors wakil presiden wkwk
Semangat WAPRES ku,semangat wapres ku
"Pak gib, MBG disekolah adiku dihentikan katanya uangnya gk cair",pak gib mbg disekolah adiku dihentikan katanya uangnya gk cair
kapan lg ya coki ama tretan duet kaya gini lagi,kapan lg ya coki ama tretan duet kaya gini lagi
pembenci makin tantrum😂😂,pembenci makin tantrum
"Gak kerasa nontonnya, asik njir. Sering2 bikin konten sama mas gibran😂, ngakak 😂😂😂",gak kerasa nontonnya asik njir sering bikin konten sama mas gibran ngakak
"Emang cocoknya jadi bocah tongkrongan, kagak cocok jadi wakil.",emang cocoknya jadi bocah tongkrongan kagak cocok jadi wakil
Kayak y si Bagas anak Abah maka y sentimen Ama mas Wapres,kayak y si bagas anak abah maka y sentimen ama mas wapres
"Jaman dulu ngomongnya gak diberat2in kyk gini, apa pensiun dari fufufafa bikin suara dan gaya bicara berubah?",jaman dulu ngomongnya gak diberatin kyk gini apa pensiun dari fufufafa bikin suara dan gaya bicara berubah
Hahahah lucu,hahahah lucu
"Jokesnya premium!
Berlangganan langsung dari pusat.",jokesnya premium berlangganan langsung dari pusat
Abis podcadt kalian berdua ditimpuk batu bata 😂😂,abis podcadt kalian berdua ditimpuk batu bata
Aman. Tapi UUD nya bahaya,aman tapi uud nya bahaya
"orang ini jangan dipercaya , ngomong A ternyata B, ngomong B ternyata A sama kayak keluarganya yang lain",orang ini jangan dipercaya ngomong a ternyata b ngomong b ternyata a sama kayak keluarganya yang lain
Hilang harga dirinya 😅,hilang harga dirinya
CULUN LO SEMUA TAKUT MISKIN ATAU GAK LAKU JADI BUZZER GIBRAN. TRESTAN MUNAFIK DONGO BENCI AMA PEMIMPIN TAPI NYARI DUIT LEWAT GIBRAN . RUSAK UDAH NIH NEGARA GILA,culun lo semua takut miskin atau gak laku jadi buzzer gibran trestan munafik dongo benci ama pemimpin tapi nyari duit lewat gibran rusak udah nih negara gila
Tretan & Choki Tag team championship kalau ngakak aura kena tuntut dan somasi nya melekat banget😂,tretan choki tag team championship kalau ngakak aura kena tuntut dan somasi nya melekat banget
sampah wapres apaan begini,sampah wapres apaan begini
Sssatttt 😂😅,sssatttt
🤣🤣🤣🤣🤣🤣,
Atmiiiiiiiiin 😱,atmiiiiiiiiin
MBG (makan bebek gratis),mbg makan bebek gratis
Ai mungkin ini di rosting 😂😂😂,ai mungkin ini di rosting
"ninggalin jejak
yg bakalan jadi arsip dunia
wapres di roasting 😂😂",ninggalin jejak yg bakalan jadi arsip dunia wapres di roasting
"Selama idup gw sekarang, baru kali ini liat WAKIL PRESIDEN bisa di ajak ngobrol santai kek gini, masih aja banyak yang ngehujat 😌",selama idup gw sekarang baru kali ini liat wakil presiden bisa di ajak ngobrol santai kek gini masih aja banyak yang ngehujat
Besok tinggal undang bapaknya🗿,besok tinggal undang bapaknya
Keren mas wapres... 👍,keren mas wapres
"Saya sedih dengan sebagian pola pikir masyarakat indonesia, di materi panji itu banyak hal krusial dan penting tentang negri ini .. tapi ko yang viral malah bahas gibran ngatuk ?? sungguh sedih..",saya sedih dengan sebagian pola pikir masyarakat indonesia di materi panji itu banyak hal krusial dan penting tentang negri ini tapi ko yang viral malah bahas gibran ngatuk sungguh sedih
Di depan kamera harus slow,di depan kamera harus slow
Benar-benar Membara ini 🔥🔥🔥,benarbenar membara ini
Gibran jadi BA bebek carok??? 😂,gibran jadi ba bebek carok
Sejuk....,sejuk
Buzzer sedang bekerja keras disinii,buzzer sedang bekerja keras disinii
Gelaaaaaappp😂😂😂,gelaaaaaappp
Langsung unsub bung,langsung unsub bung
"Serius,,dr raut mereka ber 2 tegang gak sih,,😂😂😂",seriusdr raut mereka ber tegang gak sih
"14:29 santai, beliau lupa kaskus",santai beliau lupa kaskus
Gw fkir AI😂,gw fkir ai
Berani banget 2 orang ini😂,berani banget orang ini
"panji sma roy suryo lucuan mana,,,,wkwkwkwkakakakakak,",panji sma roy suryo lucuan manawkwkwkwkakakakakak
mantap kak girbran the next ultimatum presidental konoha,mantap kak girbran the next ultimatum presidental konoha
4:20 keliatan yang paling bahagia😂,keliatan yang paling bahagia
"Kurang panjang nih durasi,

Lucunya... 😅😂",kurang panjang nih durasi lucunya
Gak apa di bilang ngantuk.. Semangat bro wapres 😅,gak apa di bilang ngantuk semangat bro wapres
Wapres gk ada harga dirinya di roasting😅,wapres gk ada harga dirinya di roasting
Pandji X Roy 😂🎉🎉🎉,pandji x roy
"Kata orang dulu mah, gak baik ngomongin orang dibelakang. Mending didepan sekalian 😂",kata orang dulu mah gak baik ngomongin orang dibelakang mending didepan sekalian
Cuma duo ini yang bisa jokes depan orangnya langsung 😂,cuma duo ini yang bisa jokes depan orangnya langsung
"itu pasti pakai ai nya Gibran, wapres kita kan sibuk bgt kerjanya",itu pasti pakai ai nya gibran wapres kita kan sibuk bgt kerjanya
selalu salut duo cokmus menjadi PR yg solid wqwqwq profesional sekali dibanding jubir pemerentah cuakksss,selalu salut duo cokmus menjadi pr yg solid wqwqwq profesional sekali dibanding jubir pemerentah cuakksss
buat netizen ati ati kegocek di 2029 nanti y,buat netizen ati ati kegocek di nanti y
Anak pria solo itu lagi,anak pria solo itu lagi
Bagas 7 hari 7 malem gabisa tidur😂,bagas hari malem gabisa tidur
ini wakil presiden loh😂,ini wakil presiden loh
Mampus lo bagas😂,mampus lo bagas
"Penasaran yg ada di ruang meeting, sedangkan wapresnya makan depan kasir 😂",penasaran yg ada di ruang meeting sedangkan wapresnya makan depan kasir
ini mas gibran nya kea AI,ini mas gibran nya kea ai
salut sih sama mas gibran ... pecah pecah 🤣🤣🤣,salut sih sama mas gibran pecah pecah
Video klarifikasi ini mah 😂,video klarifikasi ini mah
kok aku yg ngeri yow😂😂😂,kok aku yg ngeri yow
Bang tretan coba suruh om Gibran jungkir balik balas make vt,bang tretan coba suruh om gibran jungkir balik balas make vt
Hidup Fufufafa!!!,hidup fufufafa
"Atitudnya coki gak bisa nempatin situasi dan kondisi ni , kurang banget",atitudnya coki gak bisa nempatin situasi dan kondisi ni kurang banget
Hebat coki muslim...nge joke sama mas Wapres..,hebat coki muslimnge joke sama mas wapres
apakah om tretan sama om coki bakal dilaporin sama oknum dengan alat bukti flashdisk wkwkwk,apakah om tretan sama om coki bakal dilaporin sama oknum dengan alat bukti flashdisk wkwkwk
Sehat sllu mas gibran bersama keluarga 🤲,sehat sllu mas gibran bersama keluarga
"kasian pak wapres ini , pasti cape itu dada nahan tawa",kasian pak wapres ini pasti cape itu dada nahan tawa
Yang tengah bocah kosong😅😅,yang tengah bocah kosong
Apakah ini real apa ai🤣🤣,apakah ini real apa ai
tanyain 19jt lapangan kerja nya,tanyain jt lapangan kerja nya
Dibully seindonesia karena blm knal mas gibran 😂 gw yg udh knal mas gibran y biasa aj 😂,dibully seindonesia karena blm knal mas gibran gw yg udh knal mas gibran y biasa aj
Ni org gada kerjaan ngerjain negara sampe bisa masuk konten 😂,ni org gada kerjaan ngerjain negara sampe bisa masuk konten
Saking gabutnya klarifikasi diyoutube😅,saking gabutnya klarifikasi diyoutube
.,
Pas gibran ngomong coki nutupin mulut nahan tawa pasti 😂,pas gibran ngomong coki nutupin mulut nahan tawa pasti
Gokss,gokss
"Ku kira 2 orng ini nahan"" Jokes ternyata 😂😂😂😂",ku kira orng ini nahan jokes ternyata
18 menit 7 detik ga ada nyenggol fufufafa bang? 🙏,menit detik ga ada nyenggol fufufafa bang
Masih menunggu 19 juta lapangan kerja nya,masih menunggu juta lapangan kerja nya
Mana 19juta lapangan kerja yang kau janji kaaannn,mana juta lapangan kerja yang kau janji kaaannn
"🤣 yang dulunya kalian berdua ini aku nggak suka, tapi sejak Abdur Arsyad kasi tau kalian bagaimana berkomedi lewat konten agama, saya sekarang sudah sedikit suka kepada anda berdua coki muslim. 

Kocak sih anda berdua emang 😅😂🤣

1:27😂

4:20 🤣🤣


Kalian berdua memang asli koplakk

Muslim muslim 😂

Coki coki 🤣🤣🤣",yang dulunya kalian berdua ini aku nggak suka tapi sejak abdur arsyad kasi tau kalian bagaimana berkomedi lewat konten agama saya sekarang sudah sedikit suka kepada anda berdua coki muslim kocak sih anda berdua emang kalian berdua memang asli koplakk muslim muslim coki coki
bintang tamu paling capek siapa bang ?,bintang tamu paling capek siapa bang
Beneran si bro anjir gua kira AI😂,beneran si bro anjir gua kira ai
Semakin di tanya semakin kosong,semakin di tanya semakin kosong
"Jangan di tahan2, ketawan ketawa aja 😂😂😂",jangan di tahan ketawan ketawa aja
"Ijin, Pengen komen.. tombol enternya ilang 🤣",ijin pengen komen tombol enternya ilang
"Biarin mata ngantuk,yg penting wapres..lah kamu apa😂😂",biarin mata ngantukyg penting wapreslah kamu apa
"Tiati watak orang jawa, di luar senyam senyum, di dalam siapa yg tahu.😅",tiati watak orang jawa di luar senyam senyum di dalam siapa yg tahu
"Ngantuk itu satire, artinya dungu lah",ngantuk itu satire artinya dungu lah
Anjeeeng😂😂😂😂😂,anjeeeng
Baru kali ini manggil wapres mas 😂😂😂 ini aja udh lucu woilah 😂😂😂😂,baru kali ini manggil wapres mas ini aja udh lucu woilah
Sehat sehat waprsesku🔥,sehat sehat waprsesku
17:44  Cara pandang mas wapres.. sederhana tetapi penuh makna.. ❤,cara pandang mas wapres sederhana tetapi penuh makna
Apakah Pria Solo Itu lagi?,apakah pria solo itu lagi
"Wapres Beler sampe klarifikasi dipodcast yutub 😂😂😂😂
Belerrrrrr 😂😂😂😂",wapres beler sampe klarifikasi dipodcast yutub belerrrrrr
jadi selama ini yg laporin itu termul bukan dari wapres nya itu langsung😂,jadi selama ini yg laporin itu termul bukan dari wapres nya itu langsung
"Bayangkan seorang wapres, uang bnyk Rendah hati pula mas gibran luar biasa, kebanyakan di-kita itu nggk punya duit sok ganteng sombong pula.
Mantap-lah mas gibran ini.",bayangkan seorang wapres uang bnyk rendah hati pula mas gibran luar biasa kebanyakan dikita itu nggk punya duit sok ganteng sombong pula mantaplah mas gibran ini
FUFUFAFA KENAPA GAK DIBAHAS BANG ??? 😅,fufufafa kenapa gak dibahas bang
Gua yg ngeri² sedap 😂,gua yg ngeri sedap
"pertanyaan yg anjg bgt, lbh lucu mana pandji sama roy suryo wkakakaka",pertanyaan yg anjg bgt lbh lucu mana pandji sama roy suryo wkakakaka
"bang tretan sama coki ke bukan ngomong sama wapress sans banget njir wkwkkw, ke ngomong sama temen tongkrongan,, deg degan gasi penasaran 😅",bang tretan sama coki ke bukan ngomong sama wapress sans banget njir wkwkkw ke ngomong sama temen tongkrongan deg degan gasi penasaran
Detik terakhir komenin ruangan miting di restoran bebek carok.pesan iklan restoran yg cerdas,detik terakhir komenin ruangan miting di restoran bebek carokpesan iklan restoran yg cerdas
"apa jawaban selain Iya, nggak, santai.. 😭🤣🤣",apa jawaban selain iya nggak santai
Ini bukan AI kan 🤣🤣 sumpah ngakak 😂,ini bukan ai kan sumpah ngakak
Dua orang pemuda yang sedang membangkitkan jiwa terdalam seorang pemuda yang di tengah,dua orang pemuda yang sedang membangkitkan jiwa terdalam seorang pemuda yang di tengah
Ditanya berapa hari jawab yg lain kan tolol Gibran ini lawak . Gak sadar di rosting terselubung. Ya dasarnya gak. Nyambung ya gak guna,ditanya berapa hari jawab yg lain kan tolol gibran ini lawak gak sadar di rosting terselubung ya dasarnya gak nyambung ya gak guna
Bang sumpah demi apa bang wkwk,bang sumpah demi apa bang wkwk
Tumben pria solo ini rada nyambung diajak ngobrol nya😂,tumben pria solo ini rada nyambung diajak ngobrol nya
fufufafa ga di tanyain ni?,fufufafa ga di tanyain ni
Next kanda bahlilll,next kanda bahlilll
Video ini di endorse berapa bang ? 😮,video ini di endorse berapa bang
ralat: semua boleh kecuali fufufafa... kalo bahasan ini kayaknya harus off-cam 🤭,ralat semua boleh kecuali fufufafa kalo bahasan ini kayaknya harus offcam
Mutant baru bukang bang? 😂,mutant baru bukang bang
Mata natjwa terdiam setelah vidio ini diupload,mata natjwa terdiam setelah vidio ini diupload
FULL ngakak mas WAPRES ,full ngakak mas wapres
T.A.i (Ternak Abah Indonesia) dan Termul (Ternak Mulyono) ngumpul bareng di sini 😂,tai ternak abah indonesia dan termul ternak mulyono ngumpul bareng di sini
Ya tanya lah MBG itu proyek bt kalangan apa?? Rincian keuangan dan bener ga nih sesuai anggaran??,ya tanya lah mbg itu proyek bt kalangan apa rincian keuangan dan bener ga nih sesuai anggaran
Dark,dark
Liat ini resah banget bangsaaaaat,liat ini resah banget bangsaaaaat
Next undang bahlil bang plis,next undang bahlil bang plis
Gaada yg bisa di harapkan,gaada yg bisa di harapkan
"2 kata lucu
ada sertifikat halalnya? 😂😂",kata lucu ada sertifikat halalnya
Bangkeeeeeee😂😂😂lucuan Roy Suryo apa panji😂😂 pertanyaan tai tapi gua suka 😂😂😂😂😂😂😂😂😂😂,bangkeeeeeeelucuan roy suryo apa panji pertanyaan tai tapi gua suka
woilaaaa😂😂😂,woilaaaa
Gue gak suka sama ini anak. Tapi kali ini gue acungin jempol. Keren lo bran!,gue gak suka sama ini anak tapi kali ini gue acungin jempol keren lo bran
Kerja bran...!!,kerja bran
"Curang cuk Bebek Carok dpt buff dri Wapres, resto bebek lain mulai ketar ketir 😂",curang cuk bebek carok dpt buff dri wapres resto bebek lain mulai ketar ketir
Bintang Tamunya pake AI ya?,bintang tamunya pake ai ya
Menjijikan 🤮🤮🤮🤮🤣🤮🤣,menjijikan
gibran entertainment dapet bgt njir😂,gibran entertainment dapet bgt njir
Akhirnya buzzer no 1 presiden dan wapres turun tangan cmn buat nyapuin buzzernya presiden dan wapres...😂😂,akhirnya buzzer no presiden dan wapres turun tangan cmn buat nyapuin buzzernya presiden dan wapres
"Menurutku Gibran tidak ngantukan, tapi ptosis pada mata.Juga mengalami kelainan mental semacam sakit mental yang harusnya segera direhabilitasi oleh seorang psikiater.Serius , dia juga mengidap narsistik syndrome.Parah ini wapres terburuk, dengan IQ di bawah 60 , tidak punya ijazah SLTA lagi.Semakin gelap gulita Indonesia ini",menurutku gibran tidak ngantukan tapi ptosis pada matajuga mengalami kelainan mental semacam sakit mental yang harusnya segera direhabilitasi oleh seorang psikiaterserius dia juga mengidap narsistik syndromeparah ini wapres terburuk dengan iq di bawah tidak punya ijazah slta lagisemakin gelap gulita indonesia ini
"Kocak 😂 , semangat buat wapres, Ajing menggonggong kafilah tetap berlalu 😂",kocak semangat buat wapres ajing menggonggong kafilah tetap berlalu
❤ wapres gue anak muda Indonesia maju ❤,wapres gue anak muda indonesia maju
Durasi nya kurang lama,durasi nya kurang lama
Ai ini kimaklah,ai ini kimaklah
Gacorr ketua😂,gacorr ketua
Sehat selalu mas wapres,sehat selalu mas wapres
Jokes Olive Oil nampol bgt woy,jokes olive oil nampol bgt woy
"FUFUFAFA hanyalah bicara kebenaran. lantas kenapa banyak orang yang ingin mengadili fufufafa ?

bangkitlah fufufafa",fufufafa hanyalah bicara kebenaran lantas kenapa banyak orang yang ingin mengadili fufufafa bangkitlah fufufafa
Tolong sertifikatnya ditunjukkan ke kamera😂,tolong sertifikatnya ditunjukkan ke kamera
Gibran nonton di Netflix tp percuma ditanya gak paham tu manusia plaga plongo,gibran nonton di netflix tp percuma ditanya gak paham tu manusia plaga plongo
final boss nepobaby😹,final boss nepobaby
😂,
tegap bener telll. santai ajaa chill,tegap bener telll santai ajaa chill
jiwa fufufafanya sangat ingin memberontak tapi kehalang figur dan profesi cuaksss,jiwa fufufafanya sangat ingin memberontak tapi kehalang figur dan profesi cuaksss
Emang plonga plongo dah ah.. coki Muslim aja yg tektokan,emang plonga plongo dah ah coki muslim aja yg tektokan
Gibran tolol,gibran tolol
Gokil wapres...gak ada pencitraan kayaknya,gokil wapresgak ada pencitraan kayaknya
"mas grib slow bet wakk.... gw ngeliat dia gak kaya pejabat2 pada umumnya yg kaku, serius dsb. lebih ke gaya anak muda nongkrong skrng....",mas grib slow bet wakk gw ngeliat dia gak kaya pejabat pada umumnya yg kaku serius dsb lebih ke gaya anak muda nongkrong skrng
Sampah negara,sampah negara
Ikn keren bro uda kaya kota maju bukan kota hantu klo nda percaya datang kesini,ikn keren bro uda kaya kota maju bukan kota hantu klo nda percaya datang kesini
Mas gibran sukses sllu,mas gibran sukses sllu
Kok di sini gak plonga plongo mas Gibran?,kok di sini gak plonga plongo mas gibran
Itu pas ngasih bebek atau makanan gbsa di kasi racun aja kah dia biar ngerasain keracunan,itu pas ngasih bebek atau makanan gbsa di kasi racun aja kah dia biar ngerasain keracunan
"Coki kan bagian dari malaka, bagaimana kalo undang gibran ke malaka dan deeptalk sama ferry irwandi bahas rencana membangun indonesia ke depan gimana. Kayaknya lebih menarik isi kontennya.",coki kan bagian dari malaka bagaimana kalo undang gibran ke malaka dan deeptalk sama ferry irwandi bahas rencana membangun indonesia ke depan gimana kayaknya lebih menarik isi kontennya
Lo ngak tau 😮😮😮,lo ngak tau
berani,berani
nyawit nih orang,nyawit nih orang
mas panji dengan tujuan politiknya ingin mas gibran tuh marah gitu loh nuntut kek..,mas panji dengan tujuan politiknya ingin mas gibran tuh marah gitu loh nuntut kek
Wkwk ngakak suruh milih lucuan pandji atau roy suryo 😂😂,wkwk ngakak suruh milih lucuan pandji atau roy suryo
