comment,clean_comment,sentiment
Gesture gesek tangan.. nervous,gesture gesek tangan nervous,neutral
Dia santai tapi si Dustin yg kepanasan,dia santai tapi si dustin yg kepanasan,negative
gk ada isinya (kosong),gk ada isinya kosong,negative
"menurut keyakinan saya.
Normatif dan memang kosong ini orang.

18 mnt yang sia-sia 
gkgkgkgkgk",menurut keyakinan saya normatif dan memang kosong ini orang mnt yang siasia gkgkgkgkgk,negative
"anjrit, lucu jugaaa. menurut keyakinan saya lebih cocok jadi komedian daripada wapres. oh atau pemain bola aja, hattrick 2 assist kan? 😊🙏🏻",anjrit lucu jugaaa menurut keyakinan saya lebih cocok jadi komedian daripada wapres oh atau pemain bola aja hattrick assist kan,positive
Bgst ini AI kan 😂,bgst ini ai kan,negative
ini wapres indonesia?,ini wapres indonesia,neutral
Strategi personal branding yang mantap. Jadi keinget trump,strategi personal branding yang mantap jadi keinget trump,positive
yah ditanggapi santai ternyata hahaha 😂,yah ditanggapi santai ternyata hahaha,positive
Udahh pesen mass 😂😂😂. Gimmick ny harus jalann. Sesuai pesanan td aj😂😂,udahh pesen mass gimmick ny harus jalann sesuai pesanan td aj,positive
Ngeri ni coki muslim cok,ngeri ni coki muslim cok,negative
Yg tengah wifi nya agak ngelag ey,yg tengah wifi nya agak ngelag ey,negative
Salut sihh cuma dia doang wapres yg mau bginian😂😂,salut sihh cuma dia doang wapres yg mau bginian,negative
keknya banyak waktu bgt ya jadi pejabat ni,keknya banyak waktu bgt ya jadi pejabat ni,negative
Santaii😂,santaii,positive
Kata temen gua katanya ada 1 0rang yg bilang akan buka 19jt lowongan kerja tapi ntah kemana tuh orang nya,kata temen gua katanya ada rang yg bilang akan buka jt lowongan kerja tapi ntah kemana tuh orang nya,negative
"Awokawoka bawa2 roy suryo 😂😂😂
Ahli legalisir ijazah 🤣🤣🤣",awokawoka bawa roy suryo ahli legalisir ijazah,neutral
ai bukan ini bang?? agak sulit sekarang bedain ai bukan 😭👏,ai bukan ini bang agak sulit sekarang bedain ai bukan,negative
Wkwkwkw parah tu trtan😅,wkwkwkw parah tu trtan,negative
lwak haha,lwak haha,negative
Ketika wakil gua santai aja 😅 🎉🎉🎉,ketika wakil gua santai aja,neutral
"yang comend rata-rata bertanya lapangan perkerjaan KALIAN DONGO ATAU BEGO
MINIMAL KALO MAU KERJA AHLAK DULU PERBAIKI KARNA DMN MN TEMPAT KERJA NYARI AHLAK DULU BARU KETRAMPILAN
INI UDAH AHLAK JELEK G ADA KETRAMPILAN MAU KERJA KAN LAWAK
MASA MAU LAMAR PEKERJAAN ONLINE PAKAI CHAT P P P  LAWAK LAWAK",yang comend ratarata bertanya lapangan perkerjaan kalian dongo atau bego minimal kalo mau kerja ahlak dulu perbaiki karna dmn mn tempat kerja nyari ahlak dulu baru ketrampilan ini udah ahlak jelek g ada ketrampilan mau kerja kan lawak masa mau lamar pekerjaan online pakai chat p p p lawak lawak,negative
anjengggg🤣🤣🤣,anjengggg,negative
😂😂😂,,ERROR
Pemilu masih lama sudah pencitraan,pemilu masih lama sudah pencitraan,negative
The real buzzer pemerintah,the real buzzer pemerintah,negative
"Begini lah kondisi Indonesia, low brain semua,",begini lah kondisi indonesia low brain semua,negative
Bagas selama 1 jam merasakan ujung tanduk dari SP2,bagas selama jam merasakan ujung tanduk dari sp,negative
coki doang ama wapres lu lu lu😂😂. GG,coki doang ama wapres lu lu lu gg,negative
"Kipernya diem ja. Enggak juga, karirkuuu😂",kipernya diem ja enggak juga karirkuuu,negative
Diawal aj udh aga was was tapi kocak anjir 😂😂,diawal aj udh aga was was tapi kocak anjir,neutral
Knp ga tanya fufufafa itu beneran dia gak?,knp ga tanya fufufafa itu beneran dia gak,negative
Gibran kalo daftar suci di mentorin keknya lucu ye,gibran kalo daftar suci di mentorin keknya lucu ye,neutral
Ahh pria itu solo lagi🥀,ahh pria itu solo lagi,negative
Gibran anjing,gibran anjing,negative
Pas bilang roy Suryo biji gw keringetan anjg😭,pas bilang roy suryo biji gw keringetan anjg,negative
Berharap Nanya akun fufufafa padahal,berharap nanya akun fufufafa padahal,neutral
Gibran hatrick ya???????,gibran hatrick ya,neutral
Sumpah ngeri2 sedap ini 2 orang😂,sumpah ngeri sedap ini orang,negative
prince oslo,prince oslo,positive
"Mulutnya Tretan anj😂
Meanwhile si Coki jaga sikap😂",mulutnya tretan anj meanwhile si coki jaga sikap,negative
Fufufafa,fufufafa,positive
Coki ajg,coki ajg,positive
Muak lihat muka buzzer,muak lihat muka buzzer,negative
Si tretan carmuk banget ....,si tretan carmuk banget,positive
member baru para mutan..,member baru para mutan,neutral
"Tanpa kalian sadari mereka lah pendukung paling loyal untuk pemerintahan prabowo-gibran .❤
Good job guyss",tanpa kalian sadari mereka lah pendukung paling loyal untuk pemerintahan prabowogibran good job guyss,positive
"i see fufufafa, i dislike 😇",i see fufufafa i dislike,neutral
Buzzer,buzzer,positive
Indonesia Emas 2045 Dimulai dari sini nih...,indonesia emas dimulai dari sini nih,neutral
"Lucu ajg di apk sebelah pendukung anis pada ngatain coki sama tretan termul😂, padahal abahnya sendiri leluhur termul",lucu ajg di apk sebelah pendukung anis pada ngatain coki sama tretan termul padahal abahnya sendiri leluhur termul,negative
19 juta lapangan pekerjaan why,juta lapangan pekerjaan why,positive
Sattt😂😂,sattt,positive
Roy suryo dan panji beda genre komedinya...Caaaaaaaksss...,roy suryo dan panji beda genre komedinyacaaaaaaaksss,positive
Gak apa² gak masalah ini baru wakil presiden kita... Kesadaran adalah kritikan dari kebijakan pendewasaan indonesia,gak apa gak masalah ini baru wakil presiden kita kesadaran adalah kritikan dari kebijakan pendewasaan indonesia,negative
"11:25 Permohonan maaf Mas Gibran, respect.",permohonan maaf mas gibran respect,neutral
racun x yg 2 org ini ahh.... wkwkwkwk,racun x yg org ini ahh wkwkwkwk,negative
"Gibrannya sendiri gak ada masalah, penjilat²nya aja yang sibuk cari muka ....😂😂😂",gibrannya sendiri gak ada masalah penjilatnya aja yang sibuk cari muka,negative
Emang gila orang orang ini 😂😂,emang gila orang orang ini,negative
Wah ini penghinaan. Videonya dikasih subtitle anda kira mas Giran tidak lancar berahasa Indonesia dan sulit dipahami sehingga harus dikasih subtitle videonya??? Wah harus cepat masukin flashdisk biar bisa dilaporin,wah ini penghinaan videonya dikasih subtitle anda kira mas giran tidak lancar berahasa indonesia dan sulit dipahami sehingga harus dikasih subtitle videonya wah harus cepat masukin flashdisk biar bisa dilaporin,negative
Kalo doi dah ga di politik lgi tarik ke MLI jadiin trio ini pasti pecah sih !! Udah se frekuensi gitu 🤣,kalo doi dah ga di politik lgi tarik ke mli jadiin trio ini pasti pecah sih udah se frekuensi gitu,negative
Yg gw salut liat mas wapres nih dia GK pernh terpojok njirr pinter nih orng sih.,yg gw salut liat mas wapres nih dia gk pernh terpojok njirr pinter nih orng sih,positive
INI PASTI HOLOGRAMNYA GIBRAN!!!,ini pasti hologramnya gibran,negative
Currrr konten gila njirr,currrr konten gila njirr,negative
Kipernya diem doang 😂😂 anjeeeeng 🤣🤣,kipernya diem doang anjeeeeng,negative
Pangeran solo,pangeran solo,positive
SANTAI,santai,positive
"Coki ambil tahu crispy dengan santainya, Muslim beneran panik.",coki ambil tahu crispy dengan santainya muslim beneran panik,negative
Yang tengah ngantuk yaaaaa ...???😂😂😂,yang tengah ngantuk yaaaaa,negative
"Sengaja lah ga mungkin bilang bilang pernah marah, karena orang yang menjaga muka pasti akan menahan sifat aslinya",sengaja lah ga mungkin bilang bilang pernah marah karena orang yang menjaga muka pasti akan menahan sifat aslinya,positive
tetap tak tertolong,tetap tak tertolong,negative
Bahan lelucon😂,bahan lelucon,positive
"18 detik nahan Gibran eh, pengen tidur",detik nahan gibran eh pengen tidur,negative
masihhh awal tahun loh ini cokkk 😭😭😭 jokesnya sangat dalam palung,masihhh awal tahun loh ini cokkk jokesnya sangat dalam palung,positive
Uncle coki terlalu op sekali susah di nerf walaupun berbicara dengan orang nomer 2 di indonesia😂,uncle coki terlalu op sekali susah di nerf walaupun berbicara dengan orang nomer di indonesia,negative
keeren lah coki muslim,keeren lah coki muslim,positive
ajg coki ketawanya ditahan2,ajg coki ketawanya ditahan,negative
ini asli gak sih bgst 🤣,ini asli gak sih bgst,negative
"Roasting di depannya langsung, dong😂😂😂",roasting di depannya langsung dong,neutral
Soft spoken bgt kek pak jokowi,soft spoken bgt kek pak jokowi,positive
Lebih ke perpeloncoan si🙏,lebih ke perpeloncoan si,negative
19 jt lapangan kerja gimana cok?😂,jt lapangan kerja gimana cok,neutral
Hey mas mas tolong itu temannya yang di tengah dibangunkan dulu mas,hey mas mas tolong itu temannya yang di tengah dibangunkan dulu mas,neutral
cape ngelike komentar 😭😭😭😭😭,cape ngelike komentar,positive
😂😂😂,,ERROR
sangar cok,sangar cok,negative
"0:04 lagi nahan tawa, klo gw disana udh ngakak",lagi nahan tawa klo gw disana udh ngakak,negative
karena coki muslim termul jadi mau dateng mas mas itu,karena coki muslim termul jadi mau dateng mas mas itu,neutral
FYI. untuk IKN malah makin rame karena tol akses kesana gratiss. dan baguus banget ❤❤❤,fyi untuk ikn malah makin rame karena tol akses kesana gratiss dan baguus banget,positive
Paspampres di depan wkkwkw,paspampres di depan wkkwkw,neutral
Ini AI ya ? Selama 18 mnit podcast ini?,ini ai ya selama mnit podcast ini,negative
ra mutu,ra mutu,positive
si tretan sm pardede satir sarkas dua2nya dipke...wkwkwkwkkk,si tretan sm pardede satir sarkas duanya dipkewkwkwkwkkk,negative
Gak seru lah gk bahas sawit,gak seru lah gk bahas sawit,negative
mereka yang shoting gw yang tegang nonton nya hahhaha,mereka yang shoting gw yang tegang nonton nya hahhaha,negative
"Itulah kelebihan kalo pejabat masih umuran muda, masih bisa diajak becanda",itulah kelebihan kalo pejabat masih umuran muda masih bisa diajak becanda,negative
2014 Gibran sempet marah pas dikenalin ke wartawan. Waktu itu isunya anak ga berbakti karena ga bantuin kampanye bapaknya.,gibran sempet marah pas dikenalin ke wartawan waktu itu isunya anak ga berbakti karena ga bantuin kampanye bapaknya,negative
"Lucuan ini dari pada mensrea satt, minus bapak2 temennya cokmus doang😂😂",lucuan ini dari pada mensrea satt minus bapak temennya cokmus doang,negative
Admin fufuf4f4 😅,admin fufuff,negative
Kerennnn🎉,kerennnn,positive
ANNNJIIINNGG.. GILAAA LANGSUNG PODCAST 😂😂😂,annnjiiinngg gilaaa langsung podcast,positive
aowkokwokw,aowkokwokw,negative
Pertanyaan kita semua yang harusnya bisa membuktikan kalau tretan dan coki bukan enabler rezim dan beneran genuine mewakili kaum komedi: FUFUFAFA? MANA? GA BERANI?,pertanyaan kita semua yang harusnya bisa membuktikan kalau tretan dan coki bukan enabler rezim dan beneran genuine mewakili kaum komedi fufufafa mana ga berani,positive
"Gk mampan ji pandi gk ngaru😂
Nikmati aja gantian keluarga nya😂",gk mampan ji pandi gk ngaru nikmati aja gantian keluarga nya,positive
Gua nonton sambil ngakak😂,gua nonton sambil ngakak,positive
Bisa bisanya endors wakil presiden wkwk,bisa bisanya endors wakil presiden wkwk,neutral
Semangat WAPRES ku,semangat wapres ku,positive
"Pak gib, MBG disekolah adiku dihentikan katanya uangnya gk cair",pak gib mbg disekolah adiku dihentikan katanya uangnya gk cair,neutral
kapan lg ya coki ama tretan duet kaya gini lagi,kapan lg ya coki ama tretan duet kaya gini lagi,neutral
pembenci makin tantrum😂😂,pembenci makin tantrum,negative
"Gak kerasa nontonnya, asik njir. Sering2 bikin konten sama mas gibran😂, ngakak 😂😂😂",gak kerasa nontonnya asik njir sering bikin konten sama mas gibran ngakak,positive
"Emang cocoknya jadi bocah tongkrongan, kagak cocok jadi wakil.",emang cocoknya jadi bocah tongkrongan kagak cocok jadi wakil,negative
Kayak y si Bagas anak Abah maka y sentimen Ama mas Wapres,kayak y si bagas anak abah maka y sentimen ama mas wapres,positive
"Jaman dulu ngomongnya gak diberat2in kyk gini, apa pensiun dari fufufafa bikin suara dan gaya bicara berubah?",jaman dulu ngomongnya gak diberatin kyk gini apa pensiun dari fufufafa bikin suara dan gaya bicara berubah,negative
Hahahah lucu,hahahah lucu,positive
"Jokesnya premium!
Berlangganan langsung dari pusat.",jokesnya premium berlangganan langsung dari pusat,neutral
Abis podcadt kalian berdua ditimpuk batu bata 😂😂,abis podcadt kalian berdua ditimpuk batu bata,negative
Aman. Tapi UUD nya bahaya,aman tapi uud nya bahaya,negative
"orang ini jangan dipercaya , ngomong A ternyata B, ngomong B ternyata A sama kayak keluarganya yang lain",orang ini jangan dipercaya ngomong a ternyata b ngomong b ternyata a sama kayak keluarganya yang lain,negative
Hilang harga dirinya 😅,hilang harga dirinya,negative
CULUN LO SEMUA TAKUT MISKIN ATAU GAK LAKU JADI BUZZER GIBRAN. TRESTAN MUNAFIK DONGO BENCI AMA PEMIMPIN TAPI NYARI DUIT LEWAT GIBRAN . RUSAK UDAH NIH NEGARA GILA,culun lo semua takut miskin atau gak laku jadi buzzer gibran trestan munafik dongo benci ama pemimpin tapi nyari duit lewat gibran rusak udah nih negara gila,negative
Tretan & Choki Tag team championship kalau ngakak aura kena tuntut dan somasi nya melekat banget😂,tretan choki tag team championship kalau ngakak aura kena tuntut dan somasi nya melekat banget,neutral
sampah wapres apaan begini,sampah wapres apaan begini,negative
Sssatttt 😂😅,sssatttt,negative
🤣🤣🤣🤣🤣🤣,,ERROR
Atmiiiiiiiiin 😱,atmiiiiiiiiin,negative
MBG (makan bebek gratis),mbg makan bebek gratis,positive
Ai mungkin ini di rosting 😂😂😂,ai mungkin ini di rosting,negative
"ninggalin jejak
yg bakalan jadi arsip dunia
wapres di roasting 😂😂",ninggalin jejak yg bakalan jadi arsip dunia wapres di roasting,neutral
"Selama idup gw sekarang, baru kali ini liat WAKIL PRESIDEN bisa di ajak ngobrol santai kek gini, masih aja banyak yang ngehujat 😌",selama idup gw sekarang baru kali ini liat wakil presiden bisa di ajak ngobrol santai kek gini masih aja banyak yang ngehujat,negative
Besok tinggal undang bapaknya🗿,besok tinggal undang bapaknya,neutral
Keren mas wapres... 👍,keren mas wapres,positive
"Saya sedih dengan sebagian pola pikir masyarakat indonesia, di materi panji itu banyak hal krusial dan penting tentang negri ini .. tapi ko yang viral malah bahas gibran ngatuk ?? sungguh sedih..",saya sedih dengan sebagian pola pikir masyarakat indonesia di materi panji itu banyak hal krusial dan penting tentang negri ini tapi ko yang viral malah bahas gibran ngatuk sungguh sedih,negative
Di depan kamera harus slow,di depan kamera harus slow,neutral
Benar-benar Membara ini 🔥🔥🔥,benarbenar membara ini,positive
Gibran jadi BA bebek carok??? 😂,gibran jadi ba bebek carok,neutral
Sejuk....,sejuk,positive
Buzzer sedang bekerja keras disinii,buzzer sedang bekerja keras disinii,positive
Gelaaaaaappp😂😂😂,gelaaaaaappp,negative
Langsung unsub bung,langsung unsub bung,neutral
"Serius,,dr raut mereka ber 2 tegang gak sih,,😂😂😂",seriusdr raut mereka ber tegang gak sih,negative
"14:29 santai, beliau lupa kaskus",santai beliau lupa kaskus,neutral
Gw fkir AI😂,gw fkir ai,neutral
Berani banget 2 orang ini😂,berani banget orang ini,negative
"panji sma roy suryo lucuan mana,,,,wkwkwkwkakakakakak,",panji sma roy suryo lucuan manawkwkwkwkakakakakak,positive
mantap kak girbran the next ultimatum presidental konoha,mantap kak girbran the next ultimatum presidental konoha,positive
4:20 keliatan yang paling bahagia😂,keliatan yang paling bahagia,positive
"Kurang panjang nih durasi,

Lucunya... 😅😂",kurang panjang nih durasi lucunya,negative
Gak apa di bilang ngantuk.. Semangat bro wapres 😅,gak apa di bilang ngantuk semangat bro wapres,negative
Wapres gk ada harga dirinya di roasting😅,wapres gk ada harga dirinya di roasting,negative
Pandji X Roy 😂🎉🎉🎉,pandji x roy,neutral
"Kata orang dulu mah, gak baik ngomongin orang dibelakang. Mending didepan sekalian 😂",kata orang dulu mah gak baik ngomongin orang dibelakang mending didepan sekalian,negative
Cuma duo ini yang bisa jokes depan orangnya langsung 😂,cuma duo ini yang bisa jokes depan orangnya langsung,neutral
"itu pasti pakai ai nya Gibran, wapres kita kan sibuk bgt kerjanya",itu pasti pakai ai nya gibran wapres kita kan sibuk bgt kerjanya,neutral
selalu salut duo cokmus menjadi PR yg solid wqwqwq profesional sekali dibanding jubir pemerentah cuakksss,selalu salut duo cokmus menjadi pr yg solid wqwqwq profesional sekali dibanding jubir pemerentah cuakksss,positive
buat netizen ati ati kegocek di 2029 nanti y,buat netizen ati ati kegocek di nanti y,negative
Anak pria solo itu lagi,anak pria solo itu lagi,negative
Bagas 7 hari 7 malem gabisa tidur😂,bagas hari malem gabisa tidur,negative
ini wakil presiden loh😂,ini wakil presiden loh,neutral
Mampus lo bagas😂,mampus lo bagas,positive
"Penasaran yg ada di ruang meeting, sedangkan wapresnya makan depan kasir 😂",penasaran yg ada di ruang meeting sedangkan wapresnya makan depan kasir,neutral
ini mas gibran nya kea AI,ini mas gibran nya kea ai,neutral
salut sih sama mas gibran ... pecah pecah 🤣🤣🤣,salut sih sama mas gibran pecah pecah,negative
Video klarifikasi ini mah 😂,video klarifikasi ini mah,neutral
kok aku yg ngeri yow😂😂😂,kok aku yg ngeri yow,negative
Bang tretan coba suruh om Gibran jungkir balik balas make vt,bang tretan coba suruh om gibran jungkir balik balas make vt,neutral
Hidup Fufufafa!!!,hidup fufufafa,neutral
"Atitudnya coki gak bisa nempatin situasi dan kondisi ni , kurang banget",atitudnya coki gak bisa nempatin situasi dan kondisi ni kurang banget,negative
Hebat coki muslim...nge joke sama mas Wapres..,hebat coki muslimnge joke sama mas wapres,negative
apakah om tretan sama om coki bakal dilaporin sama oknum dengan alat bukti flashdisk wkwkwk,apakah om tretan sama om coki bakal dilaporin sama oknum dengan alat bukti flashdisk wkwkwk,negative
Sehat sllu mas gibran bersama keluarga 🤲,sehat sllu mas gibran bersama keluarga,positive
"kasian pak wapres ini , pasti cape itu dada nahan tawa",kasian pak wapres ini pasti cape itu dada nahan tawa,negative
Yang tengah bocah kosong😅😅,yang tengah bocah kosong,negative
Apakah ini real apa ai🤣🤣,apakah ini real apa ai,negative
tanyain 19jt lapangan kerja nya,tanyain jt lapangan kerja nya,positive
Dibully seindonesia karena blm knal mas gibran 😂 gw yg udh knal mas gibran y biasa aj 😂,dibully seindonesia karena blm knal mas gibran gw yg udh knal mas gibran y biasa aj,negative
Ni org gada kerjaan ngerjain negara sampe bisa masuk konten 😂,ni org gada kerjaan ngerjain negara sampe bisa masuk konten,negative
Saking gabutnya klarifikasi diyoutube😅,saking gabutnya klarifikasi diyoutube,negative
.,,ERROR
Pas gibran ngomong coki nutupin mulut nahan tawa pasti 😂,pas gibran ngomong coki nutupin mulut nahan tawa pasti,negative
Gokss,gokss,negative
"Ku kira 2 orng ini nahan"" Jokes ternyata 😂😂😂😂",ku kira orng ini nahan jokes ternyata,negative
18 menit 7 detik ga ada nyenggol fufufafa bang? 🙏,menit detik ga ada nyenggol fufufafa bang,negative
Masih menunggu 19 juta lapangan kerja nya,masih menunggu juta lapangan kerja nya,negative
Mana 19juta lapangan kerja yang kau janji kaaannn,mana juta lapangan kerja yang kau janji kaaannn,negative
"🤣 yang dulunya kalian berdua ini aku nggak suka, tapi sejak Abdur Arsyad kasi tau kalian bagaimana berkomedi lewat konten agama, saya sekarang sudah sedikit suka kepada anda berdua coki muslim. 

Kocak sih anda berdua emang 😅😂🤣

1:27😂

4:20 🤣🤣


Kalian berdua memang asli koplakk

Muslim muslim 😂

Coki coki 🤣🤣🤣",yang dulunya kalian berdua ini aku nggak suka tapi sejak abdur arsyad kasi tau kalian bagaimana berkomedi lewat konten agama saya sekarang sudah sedikit suka kepada anda berdua coki muslim kocak sih anda berdua emang kalian berdua memang asli koplakk muslim muslim coki coki,positive
bintang tamu paling capek siapa bang ?,bintang tamu paling capek siapa bang,negative
Beneran si bro anjir gua kira AI😂,beneran si bro anjir gua kira ai,negative
Semakin di tanya semakin kosong,semakin di tanya semakin kosong,negative
"Jangan di tahan2, ketawan ketawa aja 😂😂😂",jangan di tahan ketawan ketawa aja,negative
"Ijin, Pengen komen.. tombol enternya ilang 🤣",ijin pengen komen tombol enternya ilang,neutral
"Biarin mata ngantuk,yg penting wapres..lah kamu apa😂😂",biarin mata ngantukyg penting wapreslah kamu apa,negative
"Tiati watak orang jawa, di luar senyam senyum, di dalam siapa yg tahu.😅",tiati watak orang jawa di luar senyam senyum di dalam siapa yg tahu,neutral
"Ngantuk itu satire, artinya dungu lah",ngantuk itu satire artinya dungu lah,neutral
Anjeeeng😂😂😂😂😂,anjeeeng,positive
Baru kali ini manggil wapres mas 😂😂😂 ini aja udh lucu woilah 😂😂😂😂,baru kali ini manggil wapres mas ini aja udh lucu woilah,positive
Sehat sehat waprsesku🔥,sehat sehat waprsesku,positive
17:44  Cara pandang mas wapres.. sederhana tetapi penuh makna.. ❤,cara pandang mas wapres sederhana tetapi penuh makna,positive
Apakah Pria Solo Itu lagi?,apakah pria solo itu lagi,negative
"Wapres Beler sampe klarifikasi dipodcast yutub 😂😂😂😂
Belerrrrrr 😂😂😂😂",wapres beler sampe klarifikasi dipodcast yutub belerrrrrr,negative
jadi selama ini yg laporin itu termul bukan dari wapres nya itu langsung😂,jadi selama ini yg laporin itu termul bukan dari wapres nya itu langsung,neutral
"Bayangkan seorang wapres, uang bnyk Rendah hati pula mas gibran luar biasa, kebanyakan di-kita itu nggk punya duit sok ganteng sombong pula.
Mantap-lah mas gibran ini.",bayangkan seorang wapres uang bnyk rendah hati pula mas gibran luar biasa kebanyakan dikita itu nggk punya duit sok ganteng sombong pula mantaplah mas gibran ini,positive
FUFUFAFA KENAPA GAK DIBAHAS BANG ??? 😅,fufufafa kenapa gak dibahas bang,negative
Gua yg ngeri² sedap 😂,gua yg ngeri sedap,positive
"pertanyaan yg anjg bgt, lbh lucu mana pandji sama roy suryo wkakakaka",pertanyaan yg anjg bgt lbh lucu mana pandji sama roy suryo wkakakaka,positive
"bang tretan sama coki ke bukan ngomong sama wapress sans banget njir wkwkkw, ke ngomong sama temen tongkrongan,, deg degan gasi penasaran 😅",bang tretan sama coki ke bukan ngomong sama wapress sans banget njir wkwkkw ke ngomong sama temen tongkrongan deg degan gasi penasaran,negative
Detik terakhir komenin ruangan miting di restoran bebek carok.pesan iklan restoran yg cerdas,detik terakhir komenin ruangan miting di restoran bebek carokpesan iklan restoran yg cerdas,neutral
"apa jawaban selain Iya, nggak, santai.. 😭🤣🤣",apa jawaban selain iya nggak santai,negative
Ini bukan AI kan 🤣🤣 sumpah ngakak 😂,ini bukan ai kan sumpah ngakak,negative
Dua orang pemuda yang sedang membangkitkan jiwa terdalam seorang pemuda yang di tengah,dua orang pemuda yang sedang membangkitkan jiwa terdalam seorang pemuda yang di tengah,neutral
Ditanya berapa hari jawab yg lain kan tolol Gibran ini lawak . Gak sadar di rosting terselubung. Ya dasarnya gak. Nyambung ya gak guna,ditanya berapa hari jawab yg lain kan tolol gibran ini lawak gak sadar di rosting terselubung ya dasarnya gak nyambung ya gak guna,negative
Bang sumpah demi apa bang wkwk,bang sumpah demi apa bang wkwk,neutral
Tumben pria solo ini rada nyambung diajak ngobrol nya😂,tumben pria solo ini rada nyambung diajak ngobrol nya,neutral
fufufafa ga di tanyain ni?,fufufafa ga di tanyain ni,negative
Next kanda bahlilll,next kanda bahlilll,negative
Video ini di endorse berapa bang ? 😮,video ini di endorse berapa bang,neutral
ralat: semua boleh kecuali fufufafa... kalo bahasan ini kayaknya harus off-cam 🤭,ralat semua boleh kecuali fufufafa kalo bahasan ini kayaknya harus offcam,negative
Mutant baru bukang bang? 😂,mutant baru bukang bang,negative
Mata natjwa terdiam setelah vidio ini diupload,mata natjwa terdiam setelah vidio ini diupload,neutral
FULL ngakak mas WAPRES ,full ngakak mas wapres,positive
T.A.i (Ternak Abah Indonesia) dan Termul (Ternak Mulyono) ngumpul bareng di sini 😂,tai ternak abah indonesia dan termul ternak mulyono ngumpul bareng di sini,neutral
Ya tanya lah MBG itu proyek bt kalangan apa?? Rincian keuangan dan bener ga nih sesuai anggaran??,ya tanya lah mbg itu proyek bt kalangan apa rincian keuangan dan bener ga nih sesuai anggaran,negative
Dark,dark,positive
Liat ini resah banget bangsaaaaat,liat ini resah banget bangsaaaaat,negative
Next undang bahlil bang plis,next undang bahlil bang plis,neutral
Gaada yg bisa di harapkan,gaada yg bisa di harapkan,neutral
"2 kata lucu
ada sertifikat halalnya? 😂😂",kata lucu ada sertifikat halalnya,negative
Bangkeeeeeee😂😂😂lucuan Roy Suryo apa panji😂😂 pertanyaan tai tapi gua suka 😂😂😂😂😂😂😂😂😂😂,bangkeeeeeeelucuan roy suryo apa panji pertanyaan tai tapi gua suka,positive
woilaaaa😂😂😂,woilaaaa,positive
Gue gak suka sama ini anak. Tapi kali ini gue acungin jempol. Keren lo bran!,gue gak suka sama ini anak tapi kali ini gue acungin jempol keren lo bran,positive
Kerja bran...!!,kerja bran,positive
"Curang cuk Bebek Carok dpt buff dri Wapres, resto bebek lain mulai ketar ketir 😂",curang cuk bebek carok dpt buff dri wapres resto bebek lain mulai ketar ketir,negative
Bintang Tamunya pake AI ya?,bintang tamunya pake ai ya,neutral
Menjijikan 🤮🤮🤮🤮🤣🤮🤣,menjijikan,negative
gibran entertainment dapet bgt njir😂,gibran entertainment dapet bgt njir,positive
Akhirnya buzzer no 1 presiden dan wapres turun tangan cmn buat nyapuin buzzernya presiden dan wapres...😂😂,akhirnya buzzer no presiden dan wapres turun tangan cmn buat nyapuin buzzernya presiden dan wapres,negative
"Menurutku Gibran tidak ngantukan, tapi ptosis pada mata.Juga mengalami kelainan mental semacam sakit mental yang harusnya segera direhabilitasi oleh seorang psikiater.Serius , dia juga mengidap narsistik syndrome.Parah ini wapres terburuk, dengan IQ di bawah 60 , tidak punya ijazah SLTA lagi.Semakin gelap gulita Indonesia ini",menurutku gibran tidak ngantukan tapi ptosis pada matajuga mengalami kelainan mental semacam sakit mental yang harusnya segera direhabilitasi oleh seorang psikiaterserius dia juga mengidap narsistik syndromeparah ini wapres terburuk dengan iq di bawah tidak punya ijazah slta lagisemakin gelap gulita indonesia ini,negative
"Kocak 😂 , semangat buat wapres, Ajing menggonggong kafilah tetap berlalu 😂",kocak semangat buat wapres ajing menggonggong kafilah tetap berlalu,negative
❤ wapres gue anak muda Indonesia maju ❤,wapres gue anak muda indonesia maju,positive
Durasi nya kurang lama,durasi nya kurang lama,positive
Ai ini kimaklah,ai ini kimaklah,neutral
Gacorr ketua😂,gacorr ketua,neutral
Sehat selalu mas wapres,sehat selalu mas wapres,positive
Jokes Olive Oil nampol bgt woy,jokes olive oil nampol bgt woy,positive
"FUFUFAFA hanyalah bicara kebenaran. lantas kenapa banyak orang yang ingin mengadili fufufafa ?

bangkitlah fufufafa",fufufafa hanyalah bicara kebenaran lantas kenapa banyak orang yang ingin mengadili fufufafa bangkitlah fufufafa,negative
Tolong sertifikatnya ditunjukkan ke kamera😂,tolong sertifikatnya ditunjukkan ke kamera,neutral
Gibran nonton di Netflix tp percuma ditanya gak paham tu manusia plaga plongo,gibran nonton di netflix tp percuma ditanya gak paham tu manusia plaga plongo,negative
final boss nepobaby😹,final boss nepobaby,neutral
😂,,ERROR
tegap bener telll. santai ajaa chill,tegap bener telll santai ajaa chill,positive
jiwa fufufafanya sangat ingin memberontak tapi kehalang figur dan profesi cuaksss,jiwa fufufafanya sangat ingin memberontak tapi kehalang figur dan profesi cuaksss,negative
Emang plonga plongo dah ah.. coki Muslim aja yg tektokan,emang plonga plongo dah ah coki muslim aja yg tektokan,negative
Gibran tolol,gibran tolol,negative
Gokil wapres...gak ada pencitraan kayaknya,gokil wapresgak ada pencitraan kayaknya,positive
